162.19.7.57,16506
41.223.232.34,4145
192.111.137.34,18765
102.69.177.236,10081
170.78.92.98,5678
123.231.230.58,31196
69.167.170.149,63087
89.41.106.8,4145
82.103.70.227,4145
67.201.33.10,25283
192.141.236.3,5678
142.54.226.214,4145
202.134.67.102,1080
45.33.123.178,59479
192.111.139.163,19404
184.170.249.65,4145
109.245.231.73,8192
68.71.254.6,4145
24.172.34.114,60133
199.102.104.70,4145
91.203.25.28,4153
192.252.215.5,16137
51.83.116.2,34877
37.17.53.108,3629
103.174.178.131,1020
138.201.21.238,32849
182.253.166.54,5678
66.42.224.229,41679
103.120.146.32,5678
192.111.139.165,4145
202.70.34.72,65530
192.252.208.70,14282
51.161.33.206,32779
85.113.7.142,5678
203.210.235.91,5678
162.243.237.104,37030
199.102.105.242,4145
212.83.138.192,33840
167.172.159.43,49633
192.111.135.18,18301
192.252.211.197,14921
74.119.144.60,4145
188.93.213.242,1080
142.54.236.97,4145
67.213.210.60,48848
217.17.110.218,4153
159.65.3.202,42510
38.113.171.88,57775
104.200.135.46,4145
205.196.221.153,58965
192.111.139.162,4145
103.220.205.162,4673
199.58.185.9,4145
205.196.218.195,37692
185.140.100.178,5678
142.54.232.6,4145
159.89.233.227,6922
72.37.217.3,4145
72.49.49.11,31034
192.252.220.92,17328
116.97.10.147,17128
192.252.214.20,15864
185.2.100.97,64952
198.8.94.170,4145
192.252.208.67,14287
103.164.139.72,24572
68.71.247.130,4145
93.116.57.4,4153
220.247.165.142,9990
190.108.81.140,59311
103.245.204.139,1088
192.111.137.35,4145
165.154.233.18,45749
38.242.244.63,50318
50.250.205.21,32100
85.100.40.12,5678
179.253.8.244,7777
91.243.192.17,3629
222.252.99.84,5678
64.90.40.190,15521
199.102.106.94,4145
103.21.40.35,4145
167.71.100.140,34429
176.9.85.211,30141
94.253.95.241,3629
184.170.248.5,4145
192.111.130.5,17002
192.111.134.10,4145
167.172.86.46,10471
119.148.39.241,9990
181.209.103.98,5678
103.52.252.18,5678
203.98.76.139,4153
192.111.130.2,4145
164.138.43.14,1080
205.186.138.94,41552
67.213.212.55,25393
192.111.135.17,18302
43.252.74.202,1080
192.252.216.81,4145
5.1.104.67,33041
51.68.244.19,56697
84.236.185.247,61710
196.25.170.130,4145
113.11.136.114,4153
88.198.49.189,57981
116.202.213.207,54561
180.191.22.50,4153
69.61.200.104,36181
64.90.40.91,17233
110.74.202.186,4153
36.67.27.189,49524
118.27.36.135,10801
87.126.64.193,4145
64.111.126.0,9594
103.38.103.18,1080
47.242.234.73,15673
71.40.17.29,33651
205.196.222.80,58965
103.100.188.194,33333
109.232.106.150,52435
185.186.17.57,5678
213.145.134.174,3629
8.222.143.228,15673
103.164.139.112,24572
182.160.126.106,9990
115.85.84.163,5678
103.126.173.201,1080
104.236.14.15,17351
5.58.66.55,14888
157.245.6.140,50802
142.54.228.193,4145
179.108.158.204,4145
113.53.91.10,5678
66.33.223.2,28573
103.164.139.82,24572
109.248.236.150,9898
193.200.151.69,32777
208.113.221.198,61086
103.251.83.14,44550
102.132.76.29,5678
170.80.71.78,5678
85.92.164.179,4145
208.113.199.138,36449
83.221.194.199,1080
78.46.184.225,3260
69.163.160.197,11687
202.40.184.33,1088
151.106.13.116,60528
200.115.157.211,4145
121.139.218.165,43295
117.74.125.210,1133
208.113.162.131,49820
173.249.47.186,35826
51.75.126.150,57328
103.57.222.65,32466
67.213.212.52,40466
175.139.179.65,41527
186.67.152.107,4153
103.115.252.26,51372
208.113.172.52,40732
95.143.8.182,50285
188.164.199.163,32203
8.42.71.5,39593
188.237.60.27,1080
141.94.26.156,10826
200.146.229.129,8291
190.249.169.153,3629
185.126.235.19,35010
190.239.24.77,5678
50.238.47.86,32100
